wavelength continuum H1_lines metal_lines_Z1 metal_lines_Z2 metal_lines_Z3
1375.0 1.74283e-28 0.0 0.0 0.0 0.0
1385.0 1.98942e-28 0.0 0.0 0.0 0.0
1395.0 2.26041e-28 0.0 0.0 0.0 0.0
1405.0 2.55652e-28 0.0 0.0 0.0 0.0
1415.0 2.87832e-28 0.0 0.0 0.0 0.0
1425.0 3.22618e-28 0.0 0.0 0.0 0.0
1435.0 3.60027e-28 0.0 0.0 0.0 0.0
1442.0 3.87776e-28 0.0 0.0 0.0 0.0
1447.0 4.08382e-28 0.0 0.0 0.0 0.0
1455.0 4.42702e-28 0.0 0.0 0.0 0.0
1465.0 4.87911e-28 0.0 0.0 0.0 0.0
1475.0 5.35636e-28 0.0 0.0 0.0 0.0
1485.0 5.85805e-28 0.0 0.0 0.0 0.0
1495.0 6.3833e-28 0.0 0.0 0.0 0.0
1505.0 6.92174e-28 0.0 0.0 0.0 0.0
1512.0 7.30448e-28 0.0 0.0 0.0 0.0
1517.0 7.58378e-28 0.0 0.0 0.0 0.0
1525.0 8.04046e-28 0.0 0.0 0.0 0.0
1535.0 8.62727e-28 0.0 0.0 0.0 0.0
1545.0 9.23045e-28 0.0 0.0 0.0 0.0
1555.0 9.84847e-28 0.0 0.0 0.0 0.0
1565.0 1.04797e-27 0.0 0.0 0.0 0.0
1575.0 1.11227e-27 0.0 0.0 0.0 0.0
1585.0 1.17755e-27 0.0 0.0 0.0 0.0
1595.0 1.24368e-27 0.0 0.0 0.0 0.0
1605.0 1.31047e-27 0.0 0.0 0.0 0.0
1615.0 1.37778e-27 0.0 0.0 0.0 0.0
1625.0 1.44543e-27 0.0 0.0 0.0 0.0
1635.0 1.51329e-27 0.0 0.0 0.0 0.0
1645.0 1.58119e-27 0.0 0.0 0.0 0.0
1655.0 1.64899e-27 0.0 0.0 0.0 0.0
1665.0 1.71657e-27 0.0 0.0 3.01401e-27 5.19658e-28
1672.0 1.76366e-27 0.0 0.0 0.0 0.0
1677.0 1.79717e-27 0.0 0.0 0.0 0.0
1685.0 1.85052e-27 0.0 0.0 0.0 0.0
1695.0 1.91666e-27 0.0 0.0 0.0 0.0
1705.0 1.9821e-27 0.0 0.0 0.0 0.0
1715.0 2.04675e-27 0.0 0.0 0.0 0.0
1725.0 2.11051e-27 0.0 0.0 0.0 0.0
1735.0 2.17332e-27 0.0 0.0 0.0 0.0
1745.0 2.23509e-27 0.0 0.0 0.0 0.0
1755.0 2.29576e-27 0.0 0.0 0.0 0.0
1765.0 2.35529e-27 0.0 0.0 0.0 0.0
1775.0 2.41362e-27 0.0 0.0 0.0 0.0
1785.0 2.47072e-27 0.0 0.0 0.0 0.0
1795.0 2.52655e-27 0.0 0.0 0.0 0.0
1805.0 2.58109e-27 0.0 0.0 0.0 0.0
1815.0 2.63433e-27 0.0 0.0 0.0 0.0
1825.0 2.68624e-27 0.0 0.0 0.0 0.0
1835.0 2.73684e-27 0.0 0.0 0.0 0.0
1845.0 2.78611e-27 0.0 0.0 0.0 0.0
1855.0 2.83406e-27 0.0 0.0 0.0 0.0
1865.0 2.8807e-27 0.0 0.0 0.0 0.0
1875.0 2.92605e-27 0.0 0.0 0.0 0.0
1885.0 2.97013e-27 0.0 0.0 0.0 0.0
1895.0 3.01296e-27 0.0 0.0 0.0 0.0
1905.0 3.05456e-27 0.0 0.0 0.0 1.04081e-26
1915.0 3.09496e-27 0.0 0.0 0.0 0.0
1925.0 3.1342e-27 0.0 0.0 0.0 0.0
1935.0 3.17231e-27 0.0 0.0 0.0 0.0
1945.0 3.20933e-27 0.0 0.0 0.0 0.0
1955.0 3.24529e-27 0.0 0.0 0.0 0.0
1967.0 3.28711e-27 0.0 0.0 0.0 0.0
1976.0 3.31756e-27 0.0 0.0 0.0 0.0
1984.0 3.34399e-27 0.0 0.0 0.0 0.0
1995.0 3.3794e-27 0.0 0.0 0.0 0.0
2005.0 3.41071e-27 0.0 0.0 0.0 0.0
2015.0 3.44121e-27 0.0 0.0 0.0 0.0
2025.0 3.47096e-27 0.0 0.0 0.0 0.0
2035.0 3.49999e-27 0.0 0.0 0.0 0.0
2045.0 3.52836e-27 0.0 0.0 0.0 0.0
2055.0 3.55611e-27 0.0 0.0 0.0 0.0
2065.0 3.58329e-27 0.0 0.0 0.0 0.0
2074.0 3.60728e-27 0.0 0.0 0.0 0.0
2078.0 3.61782e-27 0.0 0.0 0.0 0.0
2085.0 3.63608e-27 0.0 0.0 0.0 0.0
2095.0 3.66178e-27 0.0 0.0 0.0 0.0
2105.0 3.68708e-27 0.0 0.0 0.0 0.0
2115.0 3.71203e-27 0.0 0.0 0.0 0.0
2125.0 3.73665e-27 0.0 0.0 0.0 0.0
2135.0 3.761e-27 0.0 0.0 0.0 0.0
2145.0 3.78511e-27 0.0 0.0 0.0 7.33099e-28
2155.0 3.80902e-27 0.0 0.0 0.0 0.0
2165.0 3.83277e-27 0.0 0.0 0.0 0.0
2175.0 3.85639e-27 0.0 0.0 0.0 0.0
2185.0 3.87993e-27 0.0 0.0 0.0 0.0
2195.0 3.90342e-27 0.0 0.0 0.0 0.0
2205.0 3.92689e-27 0.0 0.0 0.0 0.0
2215.0 3.95038e-27 0.0 0.0 0.0 0.0
2225.0 3.97391e-27 0.0 0.0 0.0 0.0
2235.0 3.99753e-27 0.0 0.0 0.0 0.0
2245.0 4.02126e-27 0.0 0.0 0.0 0.0
2255.0 4.04514e-27 0.0 0.0 0.0 0.0
2265.0 4.06918e-27 0.0 0.0 0.0 0.0
2275.0 4.09342e-27 0.0 0.0 0.0 0.0
2285.0 4.11789e-27 0.0 0.0 0.0 0.0
2295.0 4.14261e-27 0.0 0.0 0.0 0.0
2305.0 4.16761e-27 0.0 0.0 0.0 0.0
2315.0 4.19291e-27 0.0 0.0 0.0 0.0
2325.0 4.21853e-27 0.0 0.0 0.0 2.49776e-26
2335.0 4.2445e-27 0.0 0.0 0.0 0.0
2345.0 4.27084e-27 0.0 0.0 0.0 0.0
2355.0 4.29758e-27 0.0 0.0 0.0 0.0
2365.0 4.32472e-27 0.0 0.0 0.0 0.0
2375.0 4.3523e-27 0.0 0.0 0.0 0.0
2385.0 4.38032e-27 0.0 0.0 0.0 0.0
2395.0 4.40881e-27 0.0 0.0 0.0 0.0
2405.0 4.43779e-27 0.0 0.0 0.0 0.0
2415.0 4.46727e-27 0.0 0.0 0.0 0.0
2425.0 4.49727e-27 0.0 0.0 0.0 0.0
2435.0 4.5278e-27 0.0 0.0 0.0 0.0
2445.0 4.55887e-27 0.0 0.0 0.0 0.0
2455.0 4.59051e-27 0.0 0.0 0.0 0.0
2465.0 4.62272e-27 0.0 0.0 0.0 0.0
2475.0 4.65551e-27 0.0 0.0 0.0 0.0
2485.0 4.68889e-27 0.0 0.0 0.0 0.0
